website on Camping.info,Name ,Website,Telephone,Fax,Street,ZIP-Code town,Country,Really Short Description,Rating (Stars),Opening period,Opening period,Dogs welcome:,Dogs allowed: Peaks Season,Dogs allowed: Off-peak season,Winter camping:,Shade on pitches:,All-year-round camping,Mini-camping at the farm:,Naturism:,Size in hectares:,Ground mainly:,Number of pitches,including tourist pitches:,delimited tourist pitches:,Separate pitches for young people/groups:,Campsite car-free:,Car permitted on pitch:,Motorhome spaces outside the entrance:,Overnight spaces outside entrance also for caravans:,Peak season:,Off-peak season (on 1st May):,Power,Water connection on pitch,Waste water connection on pitch,Gas connection on pitch,TV hook-up on pitch,Gas bottle exchange (on the site itself),Wi-Fi (WithCharge),Internet terminal (on the site itself),Safety lockers,Lounge,Drying room,Cooking facility,Dog shower,Dog lawn,Bathing facility for dogs ,Fill-up and waste disposal facilities for motor caravans,Food provision facilities (supermarkets etc) ,Bread sold on site,Snack food outlets,Restaurants ,Wheelchair ramps,Most paths paved,Central campfire,Campfire permitted on pitch,Firewood available,Charcoal grill permitted,Tables & benches for tent users,Baby changing room,Number of individual washing cubicles (),Bathroom for hire (),Wheel-chair accessible sanitary facilities,Washing machine,Tumble dryer,"Children�s play area
",Indoor play facilities,Petting zoo,Children�s entertainment,"Swimming in natural water (sea, lake etc) 
",Sandy beach (on the site itself),Obstacle-free access to water,Nudist beach ,Pool / open air pool ,Water slide,Indoor pool ,Thermal baths ,Sauna ,Tennis,Table tennis,Volleyball,Minigolf,Golf,Sailing & surfing opportunities,Boat hire,Slipway ,Bike hire,Riding,Angling,Diving station,Ski lift ,Cross-country skiing,Tents,Chalets,Caravans,Mobile homes or holiday homes,Apartments or rooms,Dogs allowed in rental accommodation,,
"https://en.camping.info/denmark/north-jutland/skiveren-camping-1713
",Skiveren Camping,http://www.skiveren.dk,no info,no info,Niels Skiverensvej 5-7,9982 Ålbæk,Denmark,"South of Skagen, direct by the North Sea and in the midst of beautiful Nature.","4,69",23.03. - 30.09.,NA/-,Yes,Yes,Yes,No,Shade on half the site,No,No,No,"18,4",grass,595,496,441,No,No,Yes,Yes,Yes,48.57 €,34.28 €,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,,
"https://en.camping.info/rumania/rumania-east/camping-cheile-rasnoavei-26388
",Camping Cheile Rasnoavei,http://www.pensiuneacheilerasnoavei.ro,+40 740 159 541,no info,Extravilan Cheia,505400 Rasnov,Rumania,Ideal for relaxation in nature and sightseeing!,"4,62",01.05. - 30.09.,NA/-,Yes,Yes,Yes,No,Little shade,No,No,No,3,grass,100,50,50,no information,No,Yes,Yes,Yes,18 €,no information,no information,yes,no information,no,no,no,no information,yes,no information,no information,yes,yes,yes,no,yes,yes,no information,yes,yes,no information,yes,no,yes,no information,no,no,yes,yes,no,yes,no information,no,yes,yes,yes,no information,no information,no,yes,yes,yes,no,yes,yes,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no,no,no,no,yes,no,
"https://en.camping.info/switzerland/espace-berne/camping-jungfrau-lauterbrunnen-17233
",Camping Jungfrau Lauterbrunnen,http://www.campingjungfrau.swiss,+41 33 856 20 10,Fax: +41 0 33 856 20 20,Weid 406,3822 Lauterbrunnen,Switzerland,"All year, at the foot of Eiger, Jungfrau, Schilthorn and Staubbach Waterfall !","4,24",01.04. - 31.10.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,"4,5",grass,270,200,60,no information,no information,Yes,no information,no information,51.70 €,45.50 €,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,yes,yes,yes,no information,no information,no,yes,no information,no information,no information,yes,no information,no information,no information,no information,yes,yes,no information,yes,yes,yes,no information,no information,yes,no information,no information,no information,yes,yes,no,no information,yes,yes,yes,no information,,
"https://en.camping.info/czech-republic/prague-and-central-bohemian-region/camping-praha-klanovice-prague-praag-prag-23168
",Camping Praha Klanovice - Prague Praag Prag,http://www.campingpraha.cz,+420 774 553 542,Fax: 00420281960300,Slechtitelska 1020,19014 Praha 9 - Klánovice,Czech Republic,"Camping Prague Klanovice**** is well maintained campsite, with modern facilities","4,40",15.04. - 16.09.,NA/-,Yes,Yes,No,No,Little shade,No,No,No,2,grass,50,50,50,No,No,Yes,No,No,31 €,26 €,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no information,yes,yes,yes,yes,yes,no,yes,no,no information,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no information,no information,no,no information,yes,no information,yes,yes,no,yes,,
"https://en.camping.info/denmark/north-jutland/r%c3%a5bjerg-mile-camping-1617
",Råbjerg Mile Camping,http://www.raabjergmilecamping.dk,+45 98487500,no info,Kandestedvej 55,9990 Skagen,Denmark,Ferie på toppen og sand mellem tæerne,"4,83",20.03. - 30.09.,NA/-,Yes,Yes,Yes,No,Little shade,No,No,No,20,grass,446,300,300,No,No,Yes,No,No,36 €,no information,no information,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no information,no information,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,
"https://en.camping.info/germany/lower-saxony/campingplatz-auf-dem-simpel-18419
","Campingplatz ""Auf dem Simpel""",http://www.auf-dem-simpel.de/,+49 5191 3651,no info,Auf dem Simpel 1,29614 Soltau-Wolterdingen,Germany,Situated in the heart of the Lüneburger Heath and 800 m away from the Heide Park,"4,78",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,9,paved,250,140,110,Yes,No,Yes,Yes,Yes,31.20 €,24.50 €,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,,
"https://en.camping.info/austria/carinthia/camping-brunner-am-see-19333
",Camping Brunner am See,http://www.camping-brunner.at,+43 4246 7189,Fax: +43.4246/7189-14,Glanzerstraße 108,9873 Döbriach,Austria,"Unique position directly at the shores of Lake Millstätter See, top ratings","4,74",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,No information,No,no information,No,"3,5",No information,211,211,211,No,No,Yes,No,No,41.90 €,26.20 €,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,yes,no information,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,,
"https://en.camping.info/italy/tuscany/campeggio-norcenni-girasole-club-1139
",Campeggio Norcenni Girasole Club,http://www.ecvacanze.it/it/,+39 (0) 559 15141,Fax: 00390559151402,Via Norcenni 7,50063 Figline Valdarno,Italy,Looking for the ideal base for visiting Tuscany?,"4,12",21.04. - 10.10.,NA/-,Yes,Yes,Yes,No,Shade on half the site,No,No,No,14,No information,155,146,9,Yes,no information,Yes,Yes,no information,55 €,no information,no information,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no information,no,yes,yes,yes,yes,yes,no information,no information,no,no,no,yes,yes,yes,no information,yes,yes,yes,yes,yes,yes,no information,yes,yes,no information,no information,no information,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,no,no,yes,yes,yes,no,no,no information,yes,yes,yes,yes,yes,yes,
"https://en.camping.info/italy/lombardy/camping-zocco-1598
",Camping Zocco,http://www.campingzocco.it,+39 (0) 365 551605,Fax: +39 0365 55 20 53,Via del Zocco 43,25080 Manerba del Garda,Italy,Direttamente in riva al Lago di Garda in una incantevole posizione panoramica!,"4,17",24.04. - 27.09.,NA/-,Yes,Yes,Yes,no information,Shade on half the site,No,no information,No,5,grass,244,210,210,no information,no information,Yes,no information,no information,36 €,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,yes,yes,yes,yes,no information,no information,no information,yes,no information,no information,no information,yes,no information,no information,no information,no information,yes,yes,yes,no information,yes,no information,yes,yes,yes,yes,yes,yes,no information,no information,yes,yes,yes,yes,yes,yes,
"https://en.camping.info/italy/tuscany/camping-village-park-albatros-23023
",Camping Village - Park Albatros,http://www.ecvacanze.it,+39 (0) 565 701018,Fax: +39 0565 703589,Loc. Pineta di Torre Nuova,57027 San Vincenzo,Italy,"Park Albatros, the campsite only a few steps away from the sea!","3,31",20.04. - 16.09.,NA/-,Yes,Yes,Yes,No,Shade on half the site,No,No,No,31,grass,500,no information,no information,No,No,Yes,No,No,71.80 €,28 €,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no information,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no information,yes,yes,no,yes,,
"https://en.camping.info/france/lorraine/camping-les-breuils-9053
",Camping Les Breuils,http://www.camping-lesbreuils.com/,no info,no info,allée des breuils 8,55100 Verdun,France,,"3,60",01.03. - 15.10.,NA/-,no information,Yes,Yes,No,Shade on half the site,Yes,No,No,no information,No information,no information,no information,no information,no information,no information,no information,No,no information,25 €,21 €,yes,no,no,no information,no information,no information,yes,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,yes,yes,yes,yes,no information,no information,no information,no,no,no information,no information,yes,no information,yes,no information,no,no information,no,yes,no information,no information,no information,no information,no information,no,no information,no information,no information,no,no,no,no information,no,no,no,no information,,
"https://en.camping.info/germany/baden-w%c3%bcrttemberg/camping-sch%c3%bcttehof-18888
",Camping Schüttehof,http://www.camping-schuettehof.de/,+49 7451 3951,Fax: +49 (0)7451-623215,Schütteberg 7 - 9,72160 Horb am Neckar,Germany,Unser 4-Sterne-Platz liegt in ruhiger Waldrandlage über der Stadt Horb a.N.,"4,06",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,No information,Yes,No,No,7,No information,300,100,50,Yes,no information,no information,No,no information,24 €,21 €,yes,no information,no information,no information,no information,yes,yes,yes,no,yes,no,yes,yes,no information,yes,yes,yes,yes,no,yes,no information,no information,no information,no,no information,no information,no information,no information,yes,no information,yes,yes,yes,yes,no,yes,no information,yes,no information,no information,no information,yes,no information,yes,no information,no,yes,yes,no information,yes,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no,yes,yes,yes,no,no,,
"https://en.camping.info/germany/bavaria/vitalcamping-bayerbach-24244
",Vitalcamping Bayerbach,http://www.vitalcamping-bayerbach.de,+49 8532  92 78 070,Fax: 08532/ 92 78 07-20,Huckenham 11,94137 Bayerbach,Germany,Vitalcamping Bayerbach 5 Sterne Wellness- und Ferienressort bei Bad Birnbach im,"4,30",30.04. - 30.09.,NA/-,Yes,Yes,Yes,Yes,Little shade,Yes,No,No,12,gravel,330,300,no information,Yes,No,Yes,Yes,Yes,23.90 €,23.90 €,yes,yes,yes,no information,no information,yes,yes,no,no,no,yes,no,yes,no information,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,no information,yes,yes,no,no,no,yes,yes,yes,no information,no,yes,no,yes,no,no,yes,yes,,
"https://en.camping.info/spain/catalonia/tamarit-beach-resort-21260
",Tamarit Beach Resort,http://www.tamarit.com/,no info,no info,Platja Tamarit Ctra Nacional 340A  km 1172,43008 Tamarit/tarragona,Spain,"Ein kleines sommerdorf, direct am meer, wo sie tausend abenteuer erleben können","4,50",27.03. - 12.10.,NA/-,Yes,Yes,Yes,No,Mostly shaded,No,No,No,18,No information,470,470,470,No,No,Yes,Yes,No,50 €,no information,no information,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,no information,no information,no,no information,yes,yes,no,yes,no,no,
"https://en.camping.info/france/franche-comt%c3%a9/domaine-de-chalain-23138
",Domaine de Chalain,http://www.chalain.com,+33 384 257 878,no info,Domaine de Chalain,39130 Doucier,France,"4*camping at lake Chalain:accommodations,pitches,shops,aqua-park,activities...","3,38",24.04. - 13.09.,NA/-,no information,Yes,Yes,No,No information,No,No,No,30,No information,700,no information,no information,No,no information,Yes,No,No,41.70 €,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,yes,yes,yes,yes,no information,no information,yes,yes,no information,no information,yes,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,no information,no information,yes,yes,yes,no information,no,no information,no,yes,no,yes,no,no,
"https://en.camping.info/italy/lazio/camping-village-tiber-652
",Camping Village Tiber,http://www.ecvacanze.it,no info,no info,Via Tiberina,00188 Roma,Italy,"Camping Tiber lies on the banks of the river Tiber, an excellent position for a","4,13",28.04. - 31.10.,NA/-,Yes,Yes,no information,No,Mostly shaded,No,no information,No,no information,grass,150,no information,no information,Yes,No,Yes,no information,no information,37.90 €,no information,no information,yes,yes,no,no,no,no information,yes,yes,no information,no information,no information,no,yes,yes,no,yes,yes,yes,yes,yes,no,no information,no information,no,no,yes,no information,yes,yes,no information,yes,yes,yes,no information,no,no,no,yes,no information,no information,no,yes,no,no,yes,no,yes,yes,yes,no information,yes,no information,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,
"https://en.camping.info/netherlands/zeeland/camping-zonneweelde-14734
",Camping Zonneweelde,http://www.campingzonneweelde.nl,+31 117 371 910,Fax: +31 117371648,Baanstpoldersedijk 1,4504 PS Nieuwvliet-Bad,Netherlands,Familie Camping op 600m van het strand. Luxe Chalets / Glamping te huur.,"4,21",01.04. - 01.11.,NA/-,Yes,Yes,Yes,No,Little shade,Yes,No,No,10,grass,320,100,no information,No,No,No,No,No,49 €,30 €,yes,yes,yes,no,no information,yes,yes,no,no,no,no,no,no,no information,yes,no information,yes,yes,yes,yes,no information,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no information,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no information,no information,no information,no information,yes,yes,no,yes,no,no information,,
"https://en.camping.info/italy/veneto/camping-jolly-delle-querce-1412
",Camping Jolly delle Querce,http://www.ecvacanze.it,+39 (0) 419 20312,Fax: 041.5388526,Via de Marchi 7,30175 Marghera,Italy,Camping Jolly delle Querce - the ideal place to explore Venice!,"3,57",01.02. - 30.11.,NA/-,no information,Yes,Yes,No,No information,Yes,No,No,no information,No information,105,105,no information,Yes,no information,no information,no information,no information,27 €,no information,no information,yes,no information,no information,no information,no information,no information,no,yes,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,no,yes,no information,yes,yes,yes,yes,no information,no information,no,yes,no information,no information,no information,yes,no information,no,no,no,no,no,no information,no,no,no,no information,no information,no,no information,no information,no information,no,no information,yes,no information,no,yes,no,no information,
"https://en.camping.info/denmark/funen/emmerb%c3%b8lle-strand-camping-1959
",Emmerbølle Strand Camping,http://www.feriepark-langeland.dk,+45 62591226,no info,Emmerbøllevej 24,5953 Tranekær,Denmark,,"4,46",07.04. - 17.09.,NA/-,Yes,Yes,Yes,No,No information,No,No,No,15,grass,400,350,350,No,No,Yes,Yes,Yes,41.50 €,no information,no information,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no information,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no information,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no information,yes,no information,yes,no,no,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,no information,no information,no information,no information,yes,yes,yes,no,no,yes,
"https://en.camping.info/france/provence-alpes-c%c3%b4te-d-azur/domaine-de-la-bergerie-13104
",Domaine De La Bergerie,http://www.domainelabergerie.fr/de/die-domaine-p1.php,no info,no info,,83520 Roquebrune Sur Argens,France,Klima und ideal zum Entspannen mit der Familie oder Freunden !,"4,08",no information,no information,no information,no information,No information,no information,no information,no information,no information,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,no,no,no information,,
"https://en.camping.info/italy/lazio/camping-village-fabulous-23186
",Camping Village Fabulous,http://www.ecvacanze.it,+39 (0) 652 59354,Fax: 0039 0683517789,Via di Malafede  225,00125 Roma,Italy,"Beautiful campsite, perfect for a visit in Rome!","3,58",14.04. - 31.10.,NA/-,no information,Yes,Yes,No,Mostly shaded,No,No,No,30,grass,58,58,no information,no information,no information,Yes,no information,no information,39.90 €,27.90 €,yes,yes,no,no,no,no information,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no information,yes,no information,yes,no information,no information,yes,no information,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,,
"https://en.camping.info/france/provence-alpes-c%c3%b4te-d-azur/camping-le-pansard-13028
",Camping Le Pansard,http://www.camping-pansard.com,+33 4 94 66 83 22,no info,,83250 La Londe Les Maures,France,,"4,10",no information,no information,no information,no information,No information,no information,no information,no information,no information,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,yes,no,no information,,
"https://en.camping.info/france/bretagne/camping-la-plage-de-treguer-22817
",Camping La Plage de Treguer,http://www.camping-treguer-plage.com/,+33 298 925 352,no info,Plage de Sainte-Anne la Palud  Treguer Vihan,29550 Plonévez Porzay,France,DIRECT ACCESS TO THE BEACH without road to cross. Full of news in 2018!,"3,70",28.04. - 22.09.,NA/-,no information,Yes,Yes,no information,No information,no information,no information,no information,6,grass,281,199,no information,no information,no information,Yes,No,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,yes,yes,yes,yes,no information,no information,no information,yes,no information,no information,no information,yes,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,no,no,no information
"https://en.camping.info/france/languedoc-roussillon/domaine-la-yole-wine-resort-8330
",Domaine La Yole Wine Resort,http://www.campinglayole.fr,+33 467 373 387,Fax: +33.467374489,CS 10715,34350 Vendres,France,"Domaine la Yole, viel mehr als ein Campingplatz!","3,44",30.04. - 24.09.,NA/-,Yes,Yes,no information,No,Shade on half the site,No,no information,No,23,earth,1294,552,no information,No,No,Yes,No,No,56 €,no information,no information,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no information,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,
"https://en.camping.info/spain/catalonia/camping-globo-rojo-barcelona-21025
",Camping Globo Rojo Barcelona,http://www.globo-rojo.com/,no info,no info,Ctra. N-II +34 937941143,08360 Canet de Mar,Spain,,"4,25",01.04. - 30.09.,NA/-,Yes,Yes,Yes,No,Mostly shaded,No,No,No,2,grass,150,150,150,no information,No,Yes,no information,no information,52 €,20 €,yes,no,no,no,yes,yes,yes,yes,yes,no information,no information,no information,yes,yes,no information,no,yes,yes,yes,yes,yes,no information,no,no information,no,yes,yes,yes,yes,no information,yes,yes,yes,yes,yes,no information,yes,yes,yes,no information,yes,yes,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,no information,yes,yes,no information,no information,no,no,no,yes,yes,no information,no information,no,,
"https://en.camping.info/france/rh%c3%b4ne-alpes/camping-la-roubine-14252
",Camping La Roubine,http://www.camping-roubine.com/,no info,no info,Route de Ruoms,07150 Vallon Pont D'arc,France,"Luxe et tranquilité en camping 5 étoiles, bord de rivière en Ardèche","4,88",15.04. - 09.09.,NA/-,no information,Yes,Yes,No,Shade on half the site,No,No,No,7,grass,135,no information,no information,No,No,Yes,No,No,59.22 €,30.22 €,yes,no,no,no,no,yes,yes,yes,no information,no information,no information,no information,yes,yes,yes,no,yes,yes,yes,yes,no information,yes,no,no,no,no,no,yes,no information,no information,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no information,no,yes,no,no,,
"https://en.camping.info/france/provence-alpes-c%c3%b4te-d-azur/huttopia-gorges-du-verdon-12449
",Huttopia Gorges Du Verdon,http://europe.huttopia.com/de/site/camping-gorges-du-verdon/?utm_medium=annuaire&utm_source=CampinginfoDE,no info,no info,D952,04120 Castellane,France,Die Campinganlage Les Gorges du Verdon befindet sich am Ufer des Verdon !,"4,00",21.04. - 02.10.,NA/-,no information,Yes,Yes,no information,Shade on half the site,no information,no information,no information,7,grass,249,no information,no information,no information,no information,no information,no information,no information,30.80 €,no information,no information,yes,no information,no information,no information,no information,no information,yes,yes,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,yes,yes,no information,no information,yes,yes,no information,no information,no information,yes,no information,no information,no information,no information,yes,yes,yes,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,yes,yes,no,yes,no,no information,
"https://en.camping.info/france/languedoc-roussillon/camping-le-floride-et-l-embouchure-8641
",Camping Le Floride Et L’embouchure,http://floride.fr/de/,no info,no info,,66420 Le Barcares,France,Luxus-Anlage für komfortablen Wellness-Urlaub direkt am Meer in Südfrankreich,"3,57",no information,no information,no information,no information,No information,no information,no information,no information,no information,No information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no information,no,yes,no,no information,,
"https://en.camping.info/france/franche-comt%c3%a9/site-et-paysage-camping-beauregard-7456
",Site et Paysage Camping Beauregard,http://www.juracampingbeauregard.com/,+33 384 483 251,Fax: 03 84 48 32 51,2 Grande Rue,39130 Mesnois,France,Das Camping Beauregard ist im Herzen des Seebezirks,"3,86",01.04. - 30.09.,NA/-,no information,Yes,Yes,No,Shade on half the site,Yes,No,no information,6,grass,no information,no information,no information,no information,No,Yes,Yes,Yes,31.30 €,no information,no information,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no information,yes,yes,no information,yes,yes,yes,no,no,no,yes,no,yes,no information,no information,yes,yes,yes,no information,no,no information,no,yes,yes,no information,no information,yes,yes,yes,yes,yes,yes,yes,yes,yes,no information,no information,no information,no information,no information,no information,no information,no information,no information,no information,no,no,no,no,no,no information,
"https://en.camping.info/france/pays-de-la-loire/nantes-camping-le-petit-port-10889
",Nantes Camping - Le Petit Port,https://www.nantes-camping.fr/,+33 240 744 794,no info,boulevard du Petit Port 21,44300 Nantes,France,A 5-star campsite just a few minutes away from the city center,"4,00",01.01. - 31.12.,NA/-,no information,Yes,Yes,Yes,Shade on half the site,Yes,No,No,"8,5",grass,166,no information,no information,no information,No,Yes,no information,no information,29.90 €,19.90 €,yes,yes,no information,no information,no information,no information,yes,yes,no,no information,no information,no information,no information,no,no information,no information,no information,yes,yes,yes,yes,yes,no,no,no,yes,no information,no information,no information,no information,yes,yes,yes,no information,no information,no,no information,no,no,no information,no,no information,yes,yes,no,no,no,yes,no information,yes,yes,no information,no information,no information,yes,no,no information,no,no,no,yes,yes,no,yes,no,yes,,
"https://en.camping.info/france/auvergne/camping-le-clos-auroy-5134
",Camping Le Clos Auroy,http://www.camping-le-clos-auroy.com/,+33 473 842 697,no info,rue de la narse 15,63670 Orcet,France,,"4,00",01.01. - 31.12.,NA/-,Yes,Yes,Yes,Yes,Shade on half the site,Yes,No,No,3,grass,85,75,no information,No,No,Yes,No,No,31.30 €,no information,no information,yes,no,no,no,no,no information,yes,no,no information,no information,no information,no information,no,no information,no information,yes,yes,yes,yes,yes,yes,yes,no information,no,no,yes,no,yes,yes,no information,yes,yes,yes,yes,no,no,no,yes,no information,no information,no information,yes,yes,yes,yes,yes,yes,yes,no information,yes,yes,yes,no information,no information,yes,no information,no information,no information,yes,no information,yes,no,no,yes,no,no,
"https://en.camping.info/france/provence-alpes-c%c3%b4te-d-azur/camping-international-13068
",Camping International,http://www.international-giens.com/,04.94.58.90.16,Fax: 04.94.58.90.50,Route de la Madrague 1737,83400 Giens,France,Lieu privilégié des sportifs et des amoureux de la nature,"2,67",24.03. - 03.11.,NA/-,No,No,No,No,Shade on half the site,No,No,No,2,No information,60,no information,no information,No,No,Yes,No,No,39.50 €,32.50 €,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no information,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no information,no information,yes,yes,yes,yes,no,no,no information,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no information,no information,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,,
